> Task :compileJava
> Task :compileScala NO-SOURCE
> Task :processResources NO-SOURCE
> Task :classes

> Task :runJavaLocal
[server] -------------------- Match Starting --------------------
[server] immortal_chariot vs. teacher08a on streetsofnewyork
[B: #10819@45] Sensed 0 robots
[B: #13990@45] Can sense kingLoc [55, 28] ? false at distSquared 178
[B: #11456@45] Sensed 0 robots
[B: #12806@45] Sensed 0 robots
[B: #11028@45] Sensed 0 robots
[B: #10120@46] Sensed 0 robots
[B: #10819@46] Sensed 0 robots
[B: #13990@46] Can sense kingLoc [55, 28] ? false at distSquared 153
[B: #11456@46] Sensed 0 robots
[B: #12806@46] Sensed 0 robots
[B: #11028@46] Sensed 0 robots
[B: #10120@47] Sensed 0 robots
[B: #10819@47] Sensed 0 robots
[B: #13990@47] Can sense kingLoc [55, 28] ? false at distSquared 153
[B: #11456@47] Sensed 0 robots
[B: #12806@47] Sensed 0 robots
[B: #11028@47] Sensed 0 robots
[B: #10120@48] Sensed 0 robots
[B: #10819@48] Sensed 0 robots
[B: #13990@48] Can sense kingLoc [55, 28] ? false at distSquared 153
[B: #11456@48] Sensed 0 robots
[B: #12806@48] Sensed 0 robots
[B: #11028@48] Sensed 0 robots
[B: #10120@49] Sensed 0 robots
[B: #10819@49] Sensed 0 robots
[B: #13990@49] Can sense kingLoc [55, 28] ? false at distSquared 130
[B: #11456@49] Sensed 0 robots
[B: #12806@49] Sensed 0 robots
[B: #11028@49] Sensed 0 robots
[B: #10120@50] Sensed 0 robots
[B: #10819@50] Sensed 0 robots
[B: #13990@50] Can sense kingLoc [55, 28] ? false at distSquared 130
[B: #11456@50] Sensed 0 robots
[B: #12806@50] Sensed 0 robots
[B: #11028@50] Sensed 1 robots
[B: #11028@50] Received 0 messages
[B: #10120@51] Sensed 0 robots
[B: #10819@51] Sensed 0 robots
[B: #13990@51] Can sense kingLoc [55, 28] ? false at distSquared 130
[B: #11456@51] Sensed 0 robots
[B: #12806@51] Sensed 0 robots
[B: #11028@51] Sensed 0 robots
[B: #10120@52] Sensed 0 robots
[B: #10819@52] Sensed 0 robots
[B: #13990@52] Can sense kingLoc [55, 28] ? false at distSquared 109
[B: #11456@52] Sensed 0 robots
[B: #12806@52] Sensed 0 robots
[B: #11028@52] Sensed 0 robots
[B: #12917@52] Sensed 1 robots
[B: #10120@53] Sensed 0 robots
[B: #10819@53] Sensed 0 robots
[B: #13990@53] Can sense kingLoc [55, 28] ? false at distSquared 109
[B: #11456@53] Sensed 0 robots
[B: #12806@53] Sensed 0 robots
[B: #11028@53] Sensed 0 robots
[B: #12917@53] Sensed 1 robots
[B: #10120@54] Sensed 0 robots
[B: #10819@54] Sensed 0 robots
[B: #13990@54] Can sense kingLoc [55, 28] ? false at distSquared 109
[B: #11456@54] Sensed 1 robots
[B: #11456@54] Received 0 messages
[B: #12806@54] Sensed 0 robots
[B: #11028@54] Sensed 0 robots
[B: #12917@54] Sensed 1 robots
[B: #10120@55] Sensed 0 robots
[B: #10819@55] Sensed 0 robots
[B: #13990@55] Can sense kingLoc [55, 28] ? false at distSquared 90
[B: #11456@55] Sensed 1 robots
[B: #11456@55] Received 0 messages
[B: #12806@55] Sensed 0 robots
[B: #11028@55] Sensed 0 robots
[B: #12917@55] Sensed 0 robots
[B: #10120@56] Sensed 0 robots
[B: #10819@56] Sensed 0 robots
[B: #13990@56] Can sense kingLoc [55, 28] ? false at distSquared 73
[B: #11456@56] Sensed 1 robots
[B: #11456@56] Received 0 messages
[B: #12806@56] Sensed 0 robots
[B: #11028@56] Sensed 0 robots
[B: #12917@56] Sensed 1 robots
[B: #12917@56] Received 0 messages
