> Task :compileJava UP-TO-DATE
> Task :compileScala NO-SOURCE
> Task :processResources NO-SOURCE
> Task :classes UP-TO-DATE

> Task :runJavaLocal
[server] -------------------- Match Starting --------------------
[server] shredders vs. teacher08a on toomuchcheese
[B: #11367@32] Received 0 messages
[B: #11367@32] Received 0 messages
[B: #11367@32] Received 0 messages
[B: #11454@32] Sensed 2 robots
[B: #11454@32] Received 0 messages
[B: #11454@32] Received 0 messages
[B: #12765@33] Sensed 0 robots
[A: #12191@33] Found a new cheese mine at [3, 15]
[B: #13525@33] Sensed 6 robots
[B: #13525@33] Received 0 messages
[B: #13525@33] Received 0 messages
[B: #13525@33] Received 0 messages
[B: #13525@33] Received 0 messages
[B: #13525@33] Received 0 messages
[B: #13525@33] Received 0 messages
[B: #11367@33] Sensed 3 robots
[B: #11367@33] Received 0 messages
[B: #11367@33] Received 0 messages
[B: #11367@33] Received 0 messages
[B: #11454@33] Sensed 0 robots
[B: #12765@34] Sensed 0 robots
[B: #13525@34] Sensed 11 robots
[B: #13525@34] Received 0 messages
[B: #13525@34] Received 0 messages
[B: #13525@34] Received 0 messages
[B: #13525@34] Received 0 messages
[B: #13525@34] Received 0 messages
[B: #13525@34] Received 0 messages
[B: #13525@34] Received 0 messages
[B: #13525@34] Received 0 messages
[B: #13525@34] Received 0 messages
[B: #13525@34] Received 0 messages
[B: #13525@34] Received 0 messages
[B: #11367@34] Sensed 0 robots
[B: #11454@34] Sensed 0 robots
[B: #12765@35] Sensed 0 robots
[B: #13525@35] Sensed 9 robots
[B: #13525@35] Received 0 messages
[B: #13525@35] Received 0 messages
[B: #13525@35] Received 0 messages
[B: #13525@35] Received 0 messages
[B: #13525@35] Received 0 messages
[B: #13525@35] Received 0 messages
[B: #13525@35] Received 0 messages
[B: #13525@35] Received 0 messages
[B: #13525@35] Received 0 messages
[B: #11367@35] Sensed 12 robots
[B: #11367@35] Received 0 messages
[B: #11367@35] Received 0 messages
[B: #11367@35] Received 0 messages
[B: #11367@35] Received 0 messages
[B: #11367@35] Received 0 messages
[B: #11367@35] Received 0 messages
[B: #11367@35] Received 0 messages
[B: #11367@35] Received 0 messages
[B: #11367@35] Received 0 messages
[B: #11367@35] Received 0 messages
[B: #11367@35] Received 0 messages
[B: #11367@35] Received 0 messages
[B: #11454@35] Sensed 0 robots
[B: #12765@36] Sensed 2 robots
[B: #12765@36] Received 0 messages
[B: #13525@36] Sensed 6 robots
[B: #13525@36] Received 0 messages
[B: #13525@36] Received 0 messages
[B: #13525@36] Received 0 messages
[B: #13525@36] Received 0 messages
[B: #13525@36] Received 0 messages
[B: #13525@36] Received 0 messages
[B: #11367@36] Sensed 4 robots
[B: #11367@36] Received 0 messages
[B: #11367@36] Received 0 messages
[B: #11367@36] Received 0 messages
[B: #11367@36] Received 0 messages
[B: #11454@36] Sensed 1 robots
[B: #11454@36] Received 0 messages
[B: #12765@37] Sensed 1 robots
[B: #13525@37] Sensed 3 robots
[B: #13525@37] Received 0 messages
[B: #13525@37] Received 0 messages
[B: #13525@37] Received 0 messages
[B: #11367@37] Sensed 4 robots
[B: #11367@37] Received 0 messages
[B: #11367@37] Received 0 messages
[B: #11367@37] Received 0 messages
[B: #11367@37] Received 0 messages
[B: #11454@37] Sensed 4 robots
[B: #11454@37] Received 0 messages
[B: #11454@37] Received 0 messages
[B: #11454@37] Received 0 messages
[B: #11454@37] Received 0 messages
[B: #12765@38] Sensed 2 robots
[B: #12765@38] Received 0 messages
[B: #13525@38] Sensed 7 robots
[B: #13525@38] Received 0 messages
[B: #13525@38] Received 0 messages
[B: #13525@38] Received 0 messages
[B: #13525@38] Received 0 messages
[B: #13525@38] Received 0 messages
[B: #13525@38] Received 0 messages
[B: #13525@38] Received 0 messages
[B: #11367@38] Sensed 9 robots
[B: #11367@38] Received 0 messages
[B: #11367@38] Received 0 messages
[B: #11367@38] Received 0 messages
[B: #11367@38] Received 0 messages
[B: #11367@38] Received 0 messages
[B: #11367@38] Received 0 messages
[B: #11367@38] Received 0 messages
[B: #11367@38] Received 0 messages
[B: #11367@38] Received 0 messages
[B: #11454@38] Sensed 2 robots
[B: #11454@38] Received 0 messages
[B: #11454@38] Received 0 messages
[B: #12765@39] Sensed 1 robots
[B: #13525@39] Sensed 7 robots
[B: #13525@39] Received 0 messages
[B: #13525@39] Received 0 messages
[B: #13525@39] Received 0 messages
[B: #13525@39] Received 0 messages
[B: #13525@39] Received 0 messages
[B: #13525@39] Received 0 messages
[B: #13525@39] Received 0 messages
[B: #11367@39] Sensed 10 robots
[B: #11367@39] Received 0 messages
[B: #11367@39] Received 0 messages
[B: #11367@39] Received 0 messages
[B: #11367@39] Received 0 messages
[B: #11367@39] Received 0 messages
[B: #11367@39] Received 0 messages
[B: #11367@39] Received 0 messages
[B: #11367@39] Received 0 messages
[B: #11367@39] Received 0 messages
[B: #11367@39] Received 0 messages
[B: #11454@39] Sensed 2 robots
[B: #11454@39] Received 0 messages
[B: #11454@39] Received 0 messages
[B: #12765@40] Sensed 1 robots
[B: #13525@40] Sensed 12 robots
[B: #13525@40] Received 0 messages
[B: #13525@40] Received 0 messages
[B: #13525@40] Received 0 messages
[B: #13525@40] Received 0 messages
[B: #13525@40] Received 0 messages
[B: #13525@40] Received 0 messages
[B: #13525@40] Received 0 messages
[B: #13525@40] Received 0 messages
[B: #13525@40] Received 0 messages
[B: #13525@40] Received 0 messages
[B: #13525@40] Received 0 messages
[B: #13525@40] Received 0 messages
[B: #11367@40] Sensed 2 robots
[B: #11367@40] Received 0 messages
[B: #11367@40] Received 0 messages
[B: #11454@40] Sensed 7 robots
[B: #11454@40] Received 0 messages
[B: #11454@40] Received 0 messages
[B: #11454@40] Received 0 messages
[B: #11454@40] Received 0 messages
[B: #11454@40] Received 0 messages
[B: #11454@40] Received 0 messages
[B: #11454@40] Received 0 messages
[B: #12765@41] Sensed 1 robots
[B: #12765@41] Received 0 messages
[B: #13525@41] Sensed 2 robots
[B: #13525@41] Received 0 messages
[B: #13525@41] Received 0 messages
[B: #11367@41] Sensed 2 robots
[B: #11367@41] Received 0 messages
[B: #11367@41] Received 0 messages
[B: #11454@41] Sensed 8 robots
[B: #11454@41] Received 0 messages
[B: #11454@41] Received 0 messages
[B: #11454@41] Received 0 messages
[B: #11454@41] Received 0 messages
[B: #11454@41] Received 0 messages
[B: #11454@41] Received 0 messages
[B: #11454@41] Received 0 messages
[B: #11454@41] Received 0 messages
[B: #12765@42] Sensed 1 robots
[B: #12765@42] Received 0 messages
[B: #13525@42] Sensed 8 robots
[B: #13525@42] Received 0 messages
[B: #13525@42] Received 0 messages
[B: #13525@42] Received 0 messages
[B: #13525@42] Received 0 messages
[B: #13525@42] Received 0 messages
[B: #13525@42] Received 0 messages
[B: #13525@42] Received 0 messages
[B: #13525@42] Received 0 messages
[B: #11367@42] Sensed 1 robots
[B: #11367@42] Received 0 messages
[B: #11454@42] Sensed 4 robots
[B: #11454@42] Received 0 messages
[B: #11454@42] Received 0 messages
[B: #11454@42] Received 0 messages
[B: #11454@42] Received 0 messages
[B: #11855@42] Sensed 2 robots
[B: #11855@42] Received 0 messages
[B: #11855@42] Received 0 messages
[B: #12765@43] Sensed 1 robots
[B: #12765@43] Received 0 messages
[B: #13525@43] Sensed 6 robots
[B: #13525@43] Received 0 messages
[B: #13525@43] Received 0 messages
[B: #13525@43] Received 0 messages
[B: #13525@43] Received 0 messages
[B: #13525@43] Received 0 messages
[B: #13525@43] Received 0 messages
[B: #11367@43] Sensed 3 robots
[B: #11367@43] Received 0 messages
[B: #11367@43] Received 0 messages
[B: #11367@43] Received 0 messages
[B: #11454@43] Sensed 3 robots
[B: #11454@43] Received 0 messages
[B: #11454@43] Received 0 messages
[B: #11454@43] Received 0 messages
[B: #11855@43] Sensed 2 robots
[B: #11855@43] Received 0 messages
[B: #11855@43] Received 0 messages
[B: #12765@44] Sensed 2 robots
[B: #12765@44] Received 0 messages
[B: #13525@44] Sensed 9 robots
[B: #13525@44] Received 0 messages
[B: #13525@44] Received 0 messages
[B: #13525@44] Received 0 messages
[B: #13525@44] Received 0 messages
[B: #13525@44] Received 0 messages
[B: #13525@44] Received 0 messages
[B: #13525@44] Received 0 messages
[B: #13525@44] Received 0 messages
[B: #13525@44] Received 0 messages
[B: #11367@44] Sensed 8 robots
[B: #11367@44] Received 0 messages
[B: #11367@44] Received 0 messages
[B: #11367@44] Received 0 messages
[B: #11367@44] Received 0 messages
[B: #11367@44] Received 0 messages
[B: #11367@44] Received 0 messages
[B: #11367@44] Received 0 messages
[B: #11367@44] Received 0 messages
[A: #10278@44] Found a new cheese mine at [3, 15]
[B: #11454@44] Sensed 1 robots
[B: #11454@44] Received 0 messages
[B: #11855@44] Sensed 2 robots
[B: #11855@44] Received 0 messages
[B: #12765@45] Sensed 1 robots
[B: #13525@45] Sensed 7 robots
[B: #13525@45] Received 0 messages
[B: #13525@45] Received 0 messages
[B: #13525@45] Received 0 messages
[B: #13525@45] Received 0 messages
[B: #13525@45] Received 0 messages
[B: #13525@45] Received 0 messages
[B: #13525@45] Received 0 messages
[B: #11367@45] Sensed 1 robots
[B: #11367@45] Received 0 messages
[A: #10730@45] Found a new cheese mine at [3, 26]
[B: #11454@45] Sensed 11 robots
[B: #11454@45] Received 0 messages
[B: #11454@45] Received 0 messages
[B: #11454@45] Received 0 messages
[B: #11454@45] Received 0 messages
[B: #11454@45] Received 0 messages
[B: #11454@45] Received 0 messages
[B: #11454@45] Received 0 messages
[B: #11454@45] Received 0 messages
[B: #11454@45] Received 0 messages
[B: #11454@45] Received 0 messages
[B: #11454@45] Received 0 messages
[B: #11855@45] Sensed 1 robots
[B: #12765@46] Sensed 0 robots
[B: #13525@46] Sensed 6 robots
[B: #13525@46] Received 0 messages
[B: #13525@46] Received 0 messages
[B: #13525@46] Received 0 messages
[B: #13525@46] Received 0 messages
[B: #13525@46] Received 0 messages
[B: #13525@46] Received 0 messages
[B: #11367@46] Sensed 1 robots
[B: #11367@46] Received 0 messages
[B: #11454@46] Sensed 5 robots
[B: #11454@46] Received 0 messages
[B: #11454@46] Received 0 messages
[B: #11454@46] Received 0 messages
[B: #11454@46] Received 0 messages
[B: #11454@46] Received 0 messages
[B: #11855@46] Sensed 3 robots
[B: #11855@46] Received 0 messages
[B: #11855@46] Received 0 messages
[B: #12765@47] Sensed 0 robots
[B: #13525@47] Sensed 6 robots
[B: #13525@47] Received 0 messages
[B: #13525@47] Received 0 messages
[B: #13525@47] Received 0 messages
[B: #13525@47] Received 0 messages
[B: #13525@47] Received 0 messages
[B: #13525@47] Received 0 messages
[B: #11918@47] Can sense kingLoc [24, 9] ? true at distSquared 17
[B: #11367@47] Sensed 1 robots
[B: #11367@47] Received 0 messages
[B: #11454@47] Sensed 7 robots
[B: #11454@47] Received 0 messages
[B: #11454@47] Received 0 messages
[B: #11454@47] Received 0 messages
[B: #11454@47] Received 0 messages
[B: #11454@47] Received 0 messages
[B: #11454@47] Received 0 messages
[B: #11454@47] Received 0 messages
[B: #11855@47] Sensed 2 robots
[B: #11855@47] Received 0 messages
[B: #11855@47] Received 0 messages
[B: #12765@48] Sensed 0 robots
[A: #13095@48] Found a new cheese mine at [3, 26]
[B: #14029@48] Found a cheese mine at [26, 14]
[B: #14029@48] Going straight to cheese mine at [26, 14]
[B: #13525@48] Sensed 7 robots
[B: #13525@48] Received 0 messages
[B: #13525@48] Received 0 messages
[B: #13525@48] Received 0 messages
[B: #13525@48] Received 0 messages
[B: #13525@48] Received 0 messages
[B: #13525@48] Received 0 messages
[B: #13525@48] Received 0 messages
[B: #11367@48] Sensed 2 robots
[B: #11367@48] Received 0 messages
[B: #11367@48] Received 0 messages
[A: #12256@48] Found a new cheese mine at [3, 15]
[B: #11454@48] Sensed 1 robots
[B: #11454@48] Received 0 messages
[B: #11855@48] Sensed 1 robots
[B: #11855@48] Received 0 messages
[B: #12765@49] Sensed 0 robots
[B: #14029@49] Found a cheese mine at [26, 14]
[B: #14029@49] Going straight to cheese mine at [26, 14]
[B: #13525@49] Sensed 2 robots
[B: #13525@49] Received 0 messages
[B: #13525@49] Received 0 messages
[B: #11367@49] Sensed 2 robots
[B: #11367@49] Received 0 messages
[B: #11367@49] Received 0 messages
[B: #11454@49] Sensed 1 robots
[B: #11454@49] Received 0 messages
[B: #11855@49] Sensed 1 robots
[B: #11855@49] Received 0 messages
[B: #12765@50] Sensed 0 robots
[B: #14029@50] Going straight to cheese mine at [26, 14]
[B: #13525@50] Sensed 1 robots
[B: #13525@50] Received 0 messages
[B: #11367@50] Sensed 2 robots
[B: #11367@50] Received 0 messages
[B: #11367@50] Received 0 messages
[A: #11491@50] Found a new cheese mine at [3, 15]
[B: #11454@50] Sensed 2 robots
[B: #11454@50] Received 0 messages
[B: #11454@50] Received 0 messages
[B: #11855@50] Sensed 1 robots
[B: #11855@50] Received 0 messages
[B: #12765@51] Sensed 0 robots
[B: #14029@51] Going straight to cheese mine at [26, 14]
[B: #13525@51] Sensed 1 robots
[B: #13525@51] Received 0 messages
[B: #11367@51] Sensed 0 robots
[B: #11454@51] Sensed 2 robots
[B: #11454@51] Received 0 messages
[B: #11454@51] Received 0 messages
[B: #11855@51] Sensed 3 robots
[B: #11855@51] Received 0 messages
[B: #11855@51] Received 0 messages
[B: #11855@51] Received 0 messages
[B: #12765@52] Sensed 0 robots
[B: #14029@52] Going straight to cheese mine at [26, 14]
[B: #13525@52] Sensed 4 robots
[B: #13525@52] Received 0 messages
[B: #13525@52] Received 0 messages
[B: #13525@52] Received 0 messages
[B: #13525@52] Received 0 messages
[B: #11367@52] Sensed 0 robots
[B: #11454@52] Sensed 4 robots
[B: #11454@52] Received 0 messages
[B: #11454@52] Received 0 messages
[B: #11454@52] Received 0 messages
[B: #11454@52] Received 0 messages
[B: #11855@52] Sensed 3 robots
[B: #11855@52] Received 0 messages
[B: #11855@52] Received 0 messages
[B: #11855@52] Received 0 messages
[B: #13552@52] Sensed 1 robots
[B: #13552@52] Received 0 messages
[B: #12765@53] Sensed 0 robots
[B: #14029@53] Going straight to cheese mine at [26, 14]
[B: #13525@53] Sensed 2 robots
[B: #13525@53] Received 0 messages
[B: #13525@53] Received 0 messages
[B: #11367@53] Sensed 0 robots
[B: #11454@53] Sensed 5 robots
[B: #11454@53] Received 0 messages
[B: #11454@53] Received 0 messages
[B: #11454@53] Received 0 messages
[B: #11454@53] Received 0 messages
[B: #11454@53] Received 0 messages
[B: #11855@53] Sensed 3 robots
[B: #11855@53] Received 0 messages
[B: #11855@53] Received 0 messages
[B: #11855@53] Received 0 messages
[B: #13552@53] Sensed 0 robots
[B: #12765@54] Sensed 0 robots
[B: #14029@54] Can sense kingLoc [24, 9] ? true at distSquared 17
[B: #13525@54] Sensed 0 robots
[B: #11367@54] Sensed 1 robots
[B: #11367@54] Received 0 messages
[B: #12939@54] Can sense kingLoc [24, 9] ? false at distSquared 25
[B: #11454@54] Sensed 5 robots
[B: #11454@54] Received 0 messages
[B: #11454@54] Received 0 messages
[B: #11454@54] Received 0 messages
[B: #11454@54] Received 0 messages
[B: #11454@54] Received 0 messages
[B: #11855@54] Sensed 1 robots
[B: #11855@54] Received 0 messages
[B: #13552@54] Sensed 2 robots
[B: #13552@54] Received 0 messages
[B: #13552@54] Received 0 messages
[B: #12765@55] Sensed 1 robots
[B: #12765@55] Received 0 messages
[B: #14029@55] Going straight to cheese mine at [26, 14]
[B: #13525@55] Sensed 0 robots
[A: #10530@55] Found a new cheese mine at [3, 15]
[B: #11367@55] Sensed 1 robots
[B: #11367@55] Received 0 messages
[B: #11454@55] Sensed 4 robots
[B: #11454@55] Received 0 messages
[B: #11454@55] Received 0 messages
[B: #11454@55] Received 0 messages
[B: #11454@55] Received 0 messages
[B: #11855@55] Sensed 1 robots
[B: #11855@55] Received 0 messages
[B: #13552@55] Sensed 2 robots
[B: #13552@55] Received 0 messages
[B: #13552@55] Received 0 messages
[B: #12765@56] Sensed 1 robots
[B: #12765@56] Received 0 messages
[B: #14029@56] Found a cheese mine at [26, 14]
[B: #14029@56] Going straight to cheese mine at [26, 14]
[B: #13525@56] Sensed 0 robots
[B: #11367@56] Sensed 0 robots
[B: #11454@56] Sensed 5 robots
[B: #11454@56] Received 0 messages
[B: #11454@56] Received 0 messages
[B: #11454@56] Received 0 messages
[B: #11454@56] Received 0 messages
[B: #11454@56] Received 0 messages
[B: #11855@56] Sensed 3 robots
[B: #11855@56] Received 0 messages
[B: #11855@56] Received 0 messages
[B: #11855@56] Received 0 messages
[B: #13552@56] Sensed 2 robots
[B: #13552@56] Received 0 messages
[B: #13552@56] Received 0 messages
[B: #12765@57] Sensed 1 robots
[B: #12765@57] Received 0 messages
[B: #14029@57] Found a cheese mine at [26, 14]
[B: #14029@57] Going straight to cheese mine at [26, 14]
[B: #13525@57] Sensed 5 robots
[B: #13525@57] Received 0 messages
[B: #13525@57] Received 0 messages
[B: #13525@57] Received 0 messages
[B: #13525@57] Received 0 messages
[B: #13525@57] Received 0 messages
[B: #11367@57] Sensed 0 robots
[B: #11454@57] Sensed 5 robots
[B: #11454@57] Received 0 messages
[B: #11454@57] Received 0 messages
[B: #11454@57] Received 0 messages
[B: #11454@57] Received 0 messages
[B: #11454@57] Received 0 messages
[B: #11855@57] Sensed 5 robots
[B: #11855@57] Received 0 messages
[B: #11855@57] Received 0 messages
[B: #11855@57] Received 0 messages
[B: #11855@57] Received 0 messages
[B: #11855@57] Received 0 messages
[B: #13552@57] Sensed 4 robots
[B: #13552@57] Received 0 messages
[B: #13552@57] Received 0 messages
[B: #13552@57] Received 0 messages
[B: #13552@57] Received 0 messages
[B: #12765@58] Sensed 2 robots
[B: #12765@58] Received 0 messages
[B: #12765@58] Received 0 messages
[B: #14029@58] Found a cheese mine at [26, 14]
[B: #14029@58] Going straight to cheese mine at [26, 14]
[B: #13525@58] Sensed 4 robots
[B: #13525@58] Received 0 messages
[B: #13525@58] Received 0 messages
[B: #13525@58] Received 0 messages
[B: #13525@58] Received 0 messages
[B: #11367@58] Sensed 0 robots
[B: #11454@58] Sensed 2 robots
[B: #11454@58] Received 0 messages
[B: #11454@58] Received 0 messages
[B: #11855@58] Sensed 2 robots
[B: #11855@58] Received 0 messages
[B: #11855@58] Received 0 messages
[B: #13552@58] Sensed 4 robots
[B: #13552@58] Received 0 messages
[B: #13552@58] Received 0 messages
[B: #13552@58] Received 0 messages
[B: #13552@58] Received 0 messages
[B: #12765@59] Sensed 2 robots
[B: #12765@59] Received 0 messages
[B: #12765@59] Received 0 messages
[B: #14029@59] Found a cheese mine at [26, 14]
[B: #14029@59] Going straight to cheese mine at [26, 14]
[B: #13525@59] Sensed 1 robots
[B: #13525@59] Received 0 messages
[A: #13487@59] Found a new cheese mine at [15, 26]
[B: #11367@59] Sensed 0 robots
[B: #11454@59] Sensed 1 robots
[B: #11454@59] Received 0 messages
[B: #11855@59] Sensed 0 robots
[B: #13552@59] Sensed 1 robots
[B: #13552@59] Received 0 messages
[B: #12848@59] Found a cheese mine at [26, 14]
[B: #12848@59] Going straight to cheese mine at [26, 14]
[B: #12765@60] Sensed 1 robots
[B: #12765@60] Received 0 messages
[B: #14029@60] Going straight to cheese mine at [26, 14]
[B: #13525@60] Sensed 1 robots
[B: #13525@60] Received 0 messages
[B: #11367@60] Sensed 1 robots
[B: #11367@60] Received 0 messages
[B: #11454@60] Sensed 3 robots
[B: #11454@60] Received 0 messages
[B: #11454@60] Received 0 messages
[B: #11454@60] Received 0 messages
[B: #11855@60] Sensed 0 robots
[B: #13552@60] Sensed 6 robots
[B: #13552@60] Received 0 messages
[B: #13552@60] Received 0 messages
[B: #13552@60] Received 0 messages
[B: #13552@60] Received 0 messages
[B: #13552@60] Received 0 messages
[B: #13552@60] Received 0 messages
